2007-11-04,39.8,Canberra,14.1,56.0,24.0
2007-11-07,0.2,Canberra,17.3,47.0,26.0
2007-11-08,0.0,Canberra,15.5,57.0,24.0
2007-11-09,0.0,Canberra,18.9,48.0,17.0
2007-11-10,16.2,Canberra,21.7,32.0,6.0
2007-11-11,0.0,Canberra,24.0,34.0,9.0
2007-11-12,0.2,Canberra,26.0,35.0,15.0
2007-11-13,0.0,Canberra,27.1,29.0,7.0
2007-11-14,0.0,Canberra,30.7,20.0,20.0
2007-11-15,0.0,Canberra,30.4,16.0,20.0
2007-11-16,0.0,Canberra,30.7,22.0,9.0
2007-11-17,0.0,Canberra,29.8,23.0,19.0
2007-11-18,1.2,Canberra,28.6,26.0,11.0
2007-11-19,0.6,Canberra,31.2,25.0,17.0
2007-11-20,0.0,Canberra,32.0,27.0,13.0
2007-11-21,0.0,Canberra,32.8,26.0,31.0
2007-11-22,0.4,Canberra,18.3,72.0,11.0
2007-11-23,25.8,Canberra,16.8,79.0,13.0
2007-11-24,0.4,Canberra,22.8,57.0,9.0
2007-11-25,0.0,Canberra,27.3,31.0,15.0
2007-11-26,0.0,Canberra,25.1,48.0,22.0
2007-11-27,0.2,Canberra,21.2,55.0,17.0
2007-11-28,0.0,Canberra,26.7,31.0,11.0
2007-11-29,0.0,Canberra,19.7,80.0,17.0
2007-11-30,0.4,Canberra,23.2,49.0,6.0
2007-12-01,22.6,Canberra,16.3,90.0,20.0
2007-12-02,4.2,Canberra,25.2,46.0,9.0
2007-12-03,0.2,Canberra,19.9,60.0,35.0
2007-12-04,6.6,Canberra,25.1,40.0,26.0
2007-12-05,0.0,Canberra,20.5,63.0,30.0
2007-12-06,0.0,Canberra,24.5,54.0,9.0
2007-12-07,0.0,Canberra,22.6,74.0,6.0
2007-12-08,4.0,Canberra,26.3,42.0,13.0
2007-12-09,0.0,Canberra,28.6,24.0,24.0
2007-12-10,0.0,Canberra,22.9,37.0,6.0
2007-12-11,0.6,Canberra,16.4,63.0,15.0
2007-12-12,0.0,Canberra,19.4,51.0,24.0
2007-12-13,0.0,Canberra,19.2,49.0,20.0
2007-12-14,0.0,Canberra,25.0,37.0,11.0
2007-12-15,0.0,Canberra,29.1,36.0,13.0
2007-12-16,5.4,Canberra,20.0,86.0,7.0
2007-12-17,1.4,Canberra,20.8,40.0,20.0
2007-12-18,0.0,Canberra,19.8,43.0,20.0
2007-12-19,0.0,Canberra,20.0,54.0,6.0
2007-12-20,3.4,Canberra,20.4,74.0,13.0
2007-12-21,6.4,Canberra,28.2,48.0,22.0
2007-12-22,11.0,Canberra,19.6,62.0,30.0
2007-12-23,17.4,Canberra,18.8,49.0,20.0
2007-12-24,0.0,Canberra,22.5,43.0,13.0
2007-12-25,3.4,Canberra,21.0,52.0,11.0
2007-12-26,0.0,Canberra,23.9,35.0,19.0
2007-12-27,0.0,Canberra,19.0,64.0,48.0
2007-12-28,14.4,Canberra,27.4,44.0,13.0
2007-12-29,0.0,Canberra,30.3,30.0,7.0
2007-12-30,0.0,Canberra,34.3,18.0,22.0
2007-12-31,0.0,Canberra,32.2,20.0,9.0
